## COIN ASSISTANT BACKUP v2 ##
name,Simulação 5 Anos (Teste de Estresse)
description,Dados Históricos de 2021 a 2025
goal_daily_2021,70
goal_weekly_2021,490
goal_annual_2021,25000
goal_daily_2022,75
goal_weekly_2022,525
goal_annual_2022,28000
goal_daily_2023,80
goal_weekly_2023,560
goal_annual_2023,31000
goal_daily_2024,85
goal_weekly_2024,595
goal_annual_2024,34000
goal_daily_2025,90
goal_weekly_2025,630
goal_annual_2025,37000
## ROWS ##
date,value,description,entryType,monthlyValue,monthCount,period_start,period_end
2021-03-13,187.46,PIX/Cartão Receita Diária,revenue,,,,
2021-03-15,208.19,PIX/Cartão Receita Diária,revenue,,,,
2021-03-16,234.32,PIX/Cartão Receita Diária,revenue,,,,
2021-03-17,353.77,PIX/Cartão Receita Diária,revenue,,,,
2021-03-18,317.76,PIX/Cartão Receita Diária,revenue,,,,
2021-03-20,360.52,PIX/Cartão Receita Diária,revenue,,,,
2021-03-23,233.87,PIX/Cartão Receita Diária,revenue,,,,
2021-03-24,435.79,PIX/Cartão Receita Diária,revenue,,,,
2021-03-25,156.18,PIX/Cartão Receita Diária,revenue,,,,
2021-03-27,469.15,PIX/Cartão Receita Diária,revenue,,,,
2021-03-28,247.91,PIX/Cartão Receita Diária,revenue,,,,
2021-03-30,298.36,PIX/Cartão Receita Diária,revenue,,,,
2021-03-31,406.51,PIX/Cartão Receita Diária,revenue,,,,
2021-03-28,834.88,Aporte Investimento 3/2021,deposit,,,,
2021-04-01,155.54,PIX/Cartão Receita Diária,revenue,,,,
2021-04-02,338.71,PIX/Cartão Receita Diária,revenue,,,,
2021-04-03,233.16,PIX/Cartão Receita Diária,revenue,,,,
2021-04-04,178.11,PIX/Cartão Receita Diária,revenue,,,,
2021-04-06,206.81,PIX/Cartão Receita Diária,revenue,,,,
2021-04-07,351.05,PIX/Cartão Receita Diária,revenue,,,,
2021-04-08,475.83,PIX/Cartão Receita Diária,revenue,,,,
2021-04-09,398.54,PIX/Cartão Receita Diária,revenue,,,,
2021-04-10,209.08,PIX/Cartão Receita Diária,revenue,,,,
2021-04-11,320.58,PIX/Cartão Receita Diária,revenue,,,,
2021-04-12,243.34,PIX/Cartão Receita Diária,revenue,,,,
2021-04-13,187.41,PIX/Cartão Receita Diária,revenue,,,,
2021-04-14,458.51,PIX/Cartão Receita Diária,revenue,,,,
2021-04-15,290.4,PIX/Cartão Receita Diária,revenue,,,,
2021-04-16,353.99,PIX/Cartão Receita Diária,revenue,,,,
2021-04-17,368.51,PIX/Cartão Receita Diária,revenue,,,,
2021-04-19,315.45,PIX/Cartão Receita Diária,revenue,,,,
2021-04-20,191.75,PIX/Cartão Receita Diária,revenue,,,,
2021-04-23,321.5,PIX/Cartão Receita Diária,revenue,,,,
2021-04-27,396.75,PIX/Cartão Receita Diária,revenue,,,,
2021-04-28,473.18,PIX/Cartão Receita Diária,revenue,,,,
2021-04-29,441.19,PIX/Cartão Receita Diária,revenue,,,,
2021-04-30,227.66,PIX/Cartão Receita Diária,revenue,,,,
2021-04-25,1573.35,Aporte Investimento 4/2021,deposit,,,,
2021-05-01,409.47,PIX/Cartão Receita Diária,revenue,,,,
2021-05-04,277.82,PIX/Cartão Receita Diária,revenue,,,,
2021-05-05,443.62,PIX/Cartão Receita Diária,revenue,,,,
2021-05-08,444.26,PIX/Cartão Receita Diária,revenue,,,,
2021-05-10,423.45,PIX/Cartão Receita Diária,revenue,,,,
2021-05-11,365.5,PIX/Cartão Receita Diária,revenue,,,,
2021-05-13,420.26,PIX/Cartão Receita Diária,revenue,,,,
2021-05-16,288.64,PIX/Cartão Receita Diária,revenue,,,,
2021-05-17,281.68,PIX/Cartão Receita Diária,revenue,,,,
2021-05-18,328.09,PIX/Cartão Receita Diária,revenue,,,,
2021-05-19,362.72,PIX/Cartão Receita Diária,revenue,,,,
2021-05-20,169.41,PIX/Cartão Receita Diária,revenue,,,,
2021-05-22,435.48,PIX/Cartão Receita Diária,revenue,,,,
2021-05-23,248.68,PIX/Cartão Receita Diária,revenue,,,,
2021-05-25,458.46,PIX/Cartão Receita Diária,revenue,,,,
2021-05-26,283.27,PIX/Cartão Receita Diária,revenue,,,,
2021-05-30,349.55,PIX/Cartão Receita Diária,revenue,,,,
2021-05-31,169.17,PIX/Cartão Receita Diária,revenue,,,,
2021-05-27,949.79,Aporte Investimento 5/2021,deposit,,,,
2021-06-01,338.75,PIX/Cartão Receita Diária,revenue,,,,
2021-06-03,453.68,PIX/Cartão Receita Diária,revenue,,,,
2021-06-04,220.38,PIX/Cartão Receita Diária,revenue,,,,
2021-06-06,334.54,PIX/Cartão Receita Diária,revenue,,,,
2021-06-07,312.7,PIX/Cartão Receita Diária,revenue,,,,
2021-06-08,384.72,PIX/Cartão Receita Diária,revenue,,,,
2021-06-09,472.0,PIX/Cartão Receita Diária,revenue,,,,
2021-06-12,243.93,PIX/Cartão Receita Diária,revenue,,,,
2021-06-14,188.2,PIX/Cartão Receita Diária,revenue,,,,
2021-06-16,470.66,PIX/Cartão Receita Diária,revenue,,,,
2021-06-18,404.18,PIX/Cartão Receita Diária,revenue,,,,
2021-06-20,164.54,PIX/Cartão Receita Diária,revenue,,,,
2021-06-21,231.29,PIX/Cartão Receita Diária,revenue,,,,
2021-06-22,325.49,PIX/Cartão Receita Diária,revenue,,,,
2021-06-23,469.6,PIX/Cartão Receita Diária,revenue,,,,
2021-06-24,474.73,PIX/Cartão Receita Diária,revenue,,,,
2021-06-25,290.93,PIX/Cartão Receita Diária,revenue,,,,
2021-06-26,443.65,PIX/Cartão Receita Diária,revenue,,,,
2021-06-29,425.89,PIX/Cartão Receita Diária,revenue,,,,
2021-06-28,1378.55,Aporte Investimento 6/2021,deposit,,,,
2021-06-10,1327.57,Manutenção Extra,expense,1327.57,1,,
2021-07-01,397.82,PIX/Cartão Receita Diária,revenue,,,,
2021-07-02,263.35,PIX/Cartão Receita Diária,revenue,,,,
2021-07-03,286.99,PIX/Cartão Receita Diária,revenue,,,,
2021-07-04,246.39,PIX/Cartão Receita Diária,revenue,,,,
2021-07-05,228.2,PIX/Cartão Receita Diária,revenue,,,,
2021-07-06,317.64,PIX/Cartão Receita Diária,revenue,,,,
2021-07-07,473.78,PIX/Cartão Receita Diária,revenue,,,,
2021-07-10,250.23,PIX/Cartão Receita Diária,revenue,,,,
2021-07-11,229.28,PIX/Cartão Receita Diária,revenue,,,,
2021-07-12,371.58,PIX/Cartão Receita Diária,revenue,,,,
2021-07-13,444.72,PIX/Cartão Receita Diária,revenue,,,,
2021-07-15,395.75,PIX/Cartão Receita Diária,revenue,,,,
2021-07-16,331.02,PIX/Cartão Receita Diária,revenue,,,,
2021-07-17,403.8,PIX/Cartão Receita Diária,revenue,,,,
2021-07-18,459.26,PIX/Cartão Receita Diária,revenue,,,,
2021-07-19,236.99,PIX/Cartão Receita Diária,revenue,,,,
2021-07-21,273.88,PIX/Cartão Receita Diária,revenue,,,,
2021-07-22,386.54,PIX/Cartão Receita Diária,revenue,,,,
2021-07-24,333.92,PIX/Cartão Receita Diária,revenue,,,,
2021-07-25,345.65,PIX/Cartão Receita Diária,revenue,,,,
2021-07-26,437.33,PIX/Cartão Receita Diária,revenue,,,,
2021-07-27,307.66,PIX/Cartão Receita Diária,revenue,,,,
2021-07-28,151.8,PIX/Cartão Receita Diária,revenue,,,,
2021-07-29,267.06,PIX/Cartão Receita Diária,revenue,,,,
2021-07-31,190.64,PIX/Cartão Receita Diária,revenue,,,,
2021-07-25,1713.03,Aporte Investimento 7/2021,deposit,,,,
2021-08-02,153.48,PIX/Cartão Receita Diária,revenue,,,,
2021-08-03,311.68,PIX/Cartão Receita Diária,revenue,,,,
2021-08-04,342.63,PIX/Cartão Receita Diária,revenue,,,,
2021-08-05,201.81,PIX/Cartão Receita Diária,revenue,,,,
2021-08-06,463.83,PIX/Cartão Receita Diária,revenue,,,,
2021-08-07,289.52,PIX/Cartão Receita Diária,revenue,,,,
2021-08-08,414.44,PIX/Cartão Receita Diária,revenue,,,,
2021-08-09,324.39,PIX/Cartão Receita Diária,revenue,,,,
2021-08-10,302.02,PIX/Cartão Receita Diária,revenue,,,,
2021-08-11,318.18,PIX/Cartão Receita Diária,revenue,,,,
2021-08-12,441.71,PIX/Cartão Receita Diária,revenue,,,,
2021-08-15,237.17,PIX/Cartão Receita Diária,revenue,,,,
2021-08-16,370.97,PIX/Cartão Receita Diária,revenue,,,,
2021-08-17,410.01,PIX/Cartão Receita Diária,revenue,,,,
2021-08-18,213.82,PIX/Cartão Receita Diária,revenue,,,,
2021-08-19,456.68,PIX/Cartão Receita Diária,revenue,,,,
2021-08-20,394.25,PIX/Cartão Receita Diária,revenue,,,,
2021-08-21,364.77,PIX/Cartão Receita Diária,revenue,,,,
2021-08-22,384.83,PIX/Cartão Receita Diária,revenue,,,,
2021-08-24,450.46,PIX/Cartão Receita Diária,revenue,,,,
2021-08-26,388.02,PIX/Cartão Receita Diária,revenue,,,,
2021-08-27,358.58,PIX/Cartão Receita Diária,revenue,,,,
2021-08-28,295.59,PIX/Cartão Receita Diária,revenue,,,,
2021-08-29,347.22,PIX/Cartão Receita Diária,revenue,,,,
2021-08-30,307.41,PIX/Cartão Receita Diária,revenue,,,,
2021-08-28,1656.77,Aporte Investimento 8/2021,deposit,,,,
2021-09-01,326.53,PIX/Cartão Receita Diária,revenue,,,,
2021-09-02,403.17,PIX/Cartão Receita Diária,revenue,,,,
2021-09-03,316.55,PIX/Cartão Receita Diária,revenue,,,,
2021-09-04,444.91,PIX/Cartão Receita Diária,revenue,,,,
2021-09-06,399.45,PIX/Cartão Receita Diária,revenue,,,,
2021-09-11,436.69,PIX/Cartão Receita Diária,revenue,,,,
2021-09-12,239.05,PIX/Cartão Receita Diária,revenue,,,,
2021-09-13,417.71,PIX/Cartão Receita Diária,revenue,,,,
2021-09-14,338.73,PIX/Cartão Receita Diária,revenue,,,,
2021-09-15,278.34,PIX/Cartão Receita Diária,revenue,,,,
2021-09-16,215.86,PIX/Cartão Receita Diária,revenue,,,,
2021-09-17,379.43,PIX/Cartão Receita Diária,revenue,,,,
2021-09-19,361.1,PIX/Cartão Receita Diária,revenue,,,,
2021-09-21,415.08,PIX/Cartão Receita Diária,revenue,,,,
2021-09-22,367.01,PIX/Cartão Receita Diária,revenue,,,,
2021-09-23,184.76,PIX/Cartão Receita Diária,revenue,,,,
2021-09-24,422.95,PIX/Cartão Receita Diária,revenue,,,,
2021-09-25,454.23,PIX/Cartão Receita Diária,revenue,,,,
2021-09-26,263.87,PIX/Cartão Receita Diária,revenue,,,,
2021-09-27,201.71,PIX/Cartão Receita Diária,revenue,,,,
2021-09-29,241.32,PIX/Cartão Receita Diária,revenue,,,,
2021-09-28,1238.0,Aporte Investimento 9/2021,deposit,,,,
2021-10-04,171.83,PIX/Cartão Receita Diária,revenue,,,,
2021-10-05,188.65,PIX/Cartão Receita Diária,revenue,,,,
2021-10-06,403.32,PIX/Cartão Receita Diária,revenue,,,,
2021-10-07,457.96,PIX/Cartão Receita Diária,revenue,,,,
2021-10-08,429.28,PIX/Cartão Receita Diária,revenue,,,,
2021-10-10,164.36,PIX/Cartão Receita Diária,revenue,,,,
2021-10-11,382.68,PIX/Cartão Receita Diária,revenue,,,,
2021-10-13,225.67,PIX/Cartão Receita Diária,revenue,,,,
2021-10-15,357.37,PIX/Cartão Receita Diária,revenue,,,,
2021-10-16,368.18,PIX/Cartão Receita Diária,revenue,,,,
2021-10-17,209.28,PIX/Cartão Receita Diária,revenue,,,,
2021-10-18,446.84,PIX/Cartão Receita Diária,revenue,,,,
2021-10-19,467.33,PIX/Cartão Receita Diária,revenue,,,,
2021-10-20,154.8,PIX/Cartão Receita Diária,revenue,,,,
2021-10-22,267.45,PIX/Cartão Receita Diária,revenue,,,,
2021-10-23,388.03,PIX/Cartão Receita Diária,revenue,,,,
2021-10-26,330.99,PIX/Cartão Receita Diária,revenue,,,,
2021-10-27,222.13,PIX/Cartão Receita Diária,revenue,,,,
2021-10-28,241.22,PIX/Cartão Receita Diária,revenue,,,,
2021-10-29,182.57,PIX/Cartão Receita Diária,revenue,,,,
2021-10-31,248.21,PIX/Cartão Receita Diária,revenue,,,,
2021-10-28,1341.26,Aporte Investimento 10/2021,deposit,,,,
2021-11-01,342.09,PIX/Cartão Receita Diária,revenue,,,,
2021-11-02,225.13,PIX/Cartão Receita Diária,revenue,,,,
2021-11-03,393.57,PIX/Cartão Receita Diária,revenue,,,,
2021-11-05,284.19,PIX/Cartão Receita Diária,revenue,,,,
2021-11-06,420.67,PIX/Cartão Receita Diária,revenue,,,,
2021-11-07,163.79,PIX/Cartão Receita Diária,revenue,,,,
2021-11-08,267.03,PIX/Cartão Receita Diária,revenue,,,,
2021-11-10,436.77,PIX/Cartão Receita Diária,revenue,,,,
2021-11-12,465.68,PIX/Cartão Receita Diária,revenue,,,,
2021-11-13,372.39,PIX/Cartão Receita Diária,revenue,,,,
2021-11-14,356.55,PIX/Cartão Receita Diária,revenue,,,,
2021-11-15,237.25,PIX/Cartão Receita Diária,revenue,,,,
2021-11-16,351.81,PIX/Cartão Receita Diária,revenue,,,,
2021-11-17,182.19,PIX/Cartão Receita Diária,revenue,,,,
2021-11-19,351.73,PIX/Cartão Receita Diária,revenue,,,,
2021-11-20,300.66,PIX/Cartão Receita Diária,revenue,,,,
2021-11-21,458.47,PIX/Cartão Receita Diária,revenue,,,,
2021-11-22,334.91,PIX/Cartão Receita Diária,revenue,,,,
2021-11-23,447.13,PIX/Cartão Receita Diária,revenue,,,,
2021-11-25,220.02,PIX/Cartão Receita Diária,revenue,,,,
2021-11-26,384.81,PIX/Cartão Receita Diária,revenue,,,,
2021-11-27,380.28,PIX/Cartão Receita Diária,revenue,,,,
2021-11-28,261.34,PIX/Cartão Receita Diária,revenue,,,,
2021-11-29,356.78,PIX/Cartão Receita Diária,revenue,,,,
2021-11-28,1153.02,Aporte Investimento 11/2021,deposit,,,,
2021-12-02,192.85,PIX/Cartão Receita Diária,revenue,,,,
2021-12-04,364.96,PIX/Cartão Receita Diária,revenue,,,,
2021-12-05,299.81,PIX/Cartão Receita Diária,revenue,,,,
2021-12-06,332.0,PIX/Cartão Receita Diária,revenue,,,,
2021-12-07,184.15,PIX/Cartão Receita Diária,revenue,,,,
2021-12-08,399.53,PIX/Cartão Receita Diária,revenue,,,,
2021-12-09,210.59,PIX/Cartão Receita Diária,revenue,,,,
2021-12-10,462.79,PIX/Cartão Receita Diária,revenue,,,,
2021-12-12,384.5,PIX/Cartão Receita Diária,revenue,,,,
2021-12-13,327.62,PIX/Cartão Receita Diária,revenue,,,,
2021-12-14,471.0,PIX/Cartão Receita Diária,revenue,,,,
2021-12-15,234.07,PIX/Cartão Receita Diária,revenue,,,,
2021-12-16,217.51,PIX/Cartão Receita Diária,revenue,,,,
2021-12-18,157.43,PIX/Cartão Receita Diária,revenue,,,,
2021-12-20,164.18,PIX/Cartão Receita Diária,revenue,,,,
2021-12-21,442.86,PIX/Cartão Receita Diária,revenue,,,,
2021-12-22,466.47,PIX/Cartão Receita Diária,revenue,,,,
2021-12-23,360.82,PIX/Cartão Receita Diária,revenue,,,,
2021-12-24,364.66,PIX/Cartão Receita Diária,revenue,,,,
2021-12-25,220.33,PIX/Cartão Receita Diária,revenue,,,,
2021-12-26,208.0,PIX/Cartão Receita Diária,revenue,,,,
2021-12-27,289.28,PIX/Cartão Receita Diária,revenue,,,,
2021-12-29,169.2,PIX/Cartão Receita Diária,revenue,,,,
2021-12-30,358.05,PIX/Cartão Receita Diária,revenue,,,,
2021-12-31,191.38,PIX/Cartão Receita Diária,revenue,,,,
2021-12-28,825.52,Aporte Investimento 12/2021,deposit,,,,
2021-12-17,1384.82,Manutenção Extra,expense,1384.82,1,,
2022-01-01,4453,IPVA 2022,expense,371.08,12,2022-01-01,2022-12-31
2022-01-01,8176,Seguro 2022,expense,681.33,12,2022-01-01,2022-12-31
2022-10-07,12,Férias/Descanso 2022,waiver,,,,
2022-01-01,230.98,PIX/Cartão Receita Diária,revenue,,,,
2022-01-06,151.52,PIX/Cartão Receita Diária,revenue,,,,
2022-01-07,167.75,PIX/Cartão Receita Diária,revenue,,,,
2022-01-09,473.39,PIX/Cartão Receita Diária,revenue,,,,
2022-01-10,474.67,PIX/Cartão Receita Diária,revenue,,,,
2022-01-11,250.6,PIX/Cartão Receita Diária,revenue,,,,
2022-01-12,157.43,PIX/Cartão Receita Diária,revenue,,,,
2022-01-13,380.95,PIX/Cartão Receita Diária,revenue,,,,
2022-01-15,405.84,PIX/Cartão Receita Diária,revenue,,,,
2022-01-16,390.53,PIX/Cartão Receita Diária,revenue,,,,
2022-01-17,224.68,PIX/Cartão Receita Diária,revenue,,,,
2022-01-18,455.51,PIX/Cartão Receita Diária,revenue,,,,
2022-01-19,403.72,PIX/Cartão Receita Diária,revenue,,,,
2022-01-20,344.01,PIX/Cartão Receita Diária,revenue,,,,
2022-01-22,391.86,PIX/Cartão Receita Diária,revenue,,,,
2022-01-23,152.97,PIX/Cartão Receita Diária,revenue,,,,
2022-01-24,353.62,PIX/Cartão Receita Diária,revenue,,,,
2022-01-25,414.79,PIX/Cartão Receita Diária,revenue,,,,
2022-01-26,245.47,PIX/Cartão Receita Diária,revenue,,,,
2022-01-27,379.05,PIX/Cartão Receita Diária,revenue,,,,
2022-01-26,955.01,Aporte Investimento 1/2022,deposit,,,,
2022-02-01,228.43,PIX/Cartão Receita Diária,revenue,,,,
2022-02-02,214.49,PIX/Cartão Receita Diária,revenue,,,,
2022-02-04,375.08,PIX/Cartão Receita Diária,revenue,,,,
2022-02-06,442.0,PIX/Cartão Receita Diária,revenue,,,,
2022-02-07,470.46,PIX/Cartão Receita Diária,revenue,,,,
2022-02-08,399.4,PIX/Cartão Receita Diária,revenue,,,,
2022-02-09,272.5,PIX/Cartão Receita Diária,revenue,,,,
2022-02-12,336.46,PIX/Cartão Receita Diária,revenue,,,,
2022-02-13,219.95,PIX/Cartão Receita Diária,revenue,,,,
2022-02-14,356.44,PIX/Cartão Receita Diária,revenue,,,,
2022-02-15,350.2,PIX/Cartão Receita Diária,revenue,,,,
2022-02-16,466.96,PIX/Cartão Receita Diária,revenue,,,,
2022-02-17,321.88,PIX/Cartão Receita Diária,revenue,,,,
2022-02-18,253.33,PIX/Cartão Receita Diária,revenue,,,,
2022-02-20,293.05,PIX/Cartão Receita Diária,revenue,,,,
2022-02-21,393.04,PIX/Cartão Receita Diária,revenue,,,,
2022-02-22,333.54,PIX/Cartão Receita Diária,revenue,,,,
2022-02-23,422.24,PIX/Cartão Receita Diária,revenue,,,,
2022-02-26,262.01,PIX/Cartão Receita Diária,revenue,,,,
2022-02-27,468.9,PIX/Cartão Receita Diária,revenue,,,,
2022-02-28,373.3,PIX/Cartão Receita Diária,revenue,,,,
2022-02-27,1302.63,Aporte Investimento 2/2022,deposit,,,,
2022-03-01,160.01,PIX/Cartão Receita Diária,revenue,,,,
2022-03-02,197.97,PIX/Cartão Receita Diária,revenue,,,,
2022-03-03,417.66,PIX/Cartão Receita Diária,revenue,,,,
2022-03-04,330.71,PIX/Cartão Receita Diária,revenue,,,,
2022-03-05,428.76,PIX/Cartão Receita Diária,revenue,,,,
2022-03-06,170.81,PIX/Cartão Receita Diária,revenue,,,,
2022-03-08,433.31,PIX/Cartão Receita Diária,revenue,,,,
2022-03-09,455.82,PIX/Cartão Receita Diária,revenue,,,,
2022-03-11,302.65,PIX/Cartão Receita Diária,revenue,,,,
2022-03-12,405.89,PIX/Cartão Receita Diária,revenue,,,,
2022-03-13,417.02,PIX/Cartão Receita Diária,revenue,,,,
2022-03-14,269.24,PIX/Cartão Receita Diária,revenue,,,,
2022-03-15,407.74,PIX/Cartão Receita Diária,revenue,,,,
2022-03-16,397.54,PIX/Cartão Receita Diária,revenue,,,,
2022-03-18,459.28,PIX/Cartão Receita Diária,revenue,,,,
2022-03-19,446.99,PIX/Cartão Receita Diária,revenue,,,,
2022-03-20,320.31,PIX/Cartão Receita Diária,revenue,,,,
2022-03-22,452.91,PIX/Cartão Receita Diária,revenue,,,,
2022-03-23,156.84,PIX/Cartão Receita Diária,revenue,,,,
2022-03-24,157.09,PIX/Cartão Receita Diária,revenue,,,,
2022-03-25,377.2,PIX/Cartão Receita Diária,revenue,,,,
2022-03-26,436.55,PIX/Cartão Receita Diária,revenue,,,,
2022-03-27,387.95,PIX/Cartão Receita Diária,revenue,,,,
2022-03-30,206.72,PIX/Cartão Receita Diária,revenue,,,,
2022-03-28,1954.0,Aporte Investimento 3/2022,deposit,,,,
2022-03-05,1815.31,Manutenção Extra,expense,1815.31,1,,
2022-04-01,151.68,PIX/Cartão Receita Diária,revenue,,,,
2022-04-02,396.51,PIX/Cartão Receita Diária,revenue,,,,
2022-04-03,422.94,PIX/Cartão Receita Diária,revenue,,,,
2022-04-07,253.77,PIX/Cartão Receita Diária,revenue,,,,
2022-04-08,320.48,PIX/Cartão Receita Diária,revenue,,,,
2022-04-10,211.27,PIX/Cartão Receita Diária,revenue,,,,
2022-04-11,216.76,PIX/Cartão Receita Diária,revenue,,,,
2022-04-14,353.74,PIX/Cartão Receita Diária,revenue,,,,
2022-04-15,419.26,PIX/Cartão Receita Diária,revenue,,,,
2022-04-16,184.38,PIX/Cartão Receita Diária,revenue,,,,
2022-04-17,256.05,PIX/Cartão Receita Diária,revenue,,,,
2022-04-18,164.08,PIX/Cartão Receita Diária,revenue,,,,
2022-04-19,223.94,PIX/Cartão Receita Diária,revenue,,,,
2022-04-20,226.58,PIX/Cartão Receita Diária,revenue,,,,
2022-04-21,331.07,PIX/Cartão Receita Diária,revenue,,,,
2022-04-22,418.03,PIX/Cartão Receita Diária,revenue,,,,
2022-04-24,296.51,PIX/Cartão Receita Diária,revenue,,,,
2022-04-25,166.86,PIX/Cartão Receita Diária,revenue,,,,
2022-04-26,244.93,PIX/Cartão Receita Diária,revenue,,,,
2022-04-28,334.78,PIX/Cartão Receita Diária,revenue,,,,
2022-04-29,355.88,PIX/Cartão Receita Diária,revenue,,,,
2022-04-30,171.63,PIX/Cartão Receita Diária,revenue,,,,
2022-04-26,1010.61,Aporte Investimento 4/2022,deposit,,,,
2022-04-03,1192.3,Manutenção Extra,expense,1192.3,1,,
2022-05-01,318.84,PIX/Cartão Receita Diária,revenue,,,,
2022-05-03,235.23,PIX/Cartão Receita Diária,revenue,,,,
2022-05-06,199.7,PIX/Cartão Receita Diária,revenue,,,,
2022-05-08,340.59,PIX/Cartão Receita Diária,revenue,,,,
2022-05-10,279.3,PIX/Cartão Receita Diária,revenue,,,,
2022-05-11,377.65,PIX/Cartão Receita Diária,revenue,,,,
2022-05-12,410.91,PIX/Cartão Receita Diária,revenue,,,,
2022-05-14,171.42,PIX/Cartão Receita Diária,revenue,,,,
2022-05-15,188.83,PIX/Cartão Receita Diária,revenue,,,,
2022-05-16,331.1,PIX/Cartão Receita Diária,revenue,,,,
2022-05-18,459.54,PIX/Cartão Receita Diária,revenue,,,,
2022-05-19,275.15,PIX/Cartão Receita Diária,revenue,,,,
2022-05-20,191.18,PIX/Cartão Receita Diária,revenue,,,,
2022-05-21,368.63,PIX/Cartão Receita Diária,revenue,,,,
2022-05-22,323.71,PIX/Cartão Receita Diária,revenue,,,,
2022-05-23,438.6,PIX/Cartão Receita Diária,revenue,,,,
2022-05-25,359.6,PIX/Cartão Receita Diária,revenue,,,,
2022-05-27,226.08,PIX/Cartão Receita Diária,revenue,,,,
2022-05-29,476.3,PIX/Cartão Receita Diária,revenue,,,,
2022-05-30,311.12,PIX/Cartão Receita Diária,revenue,,,,
2022-05-26,824.86,Aporte Investimento 5/2022,deposit,,,,
