date,value,description,entryType,category,tags,metadata_json
2016-03-18,2500.00,"Aporte Fundo Offshore Swissquote 3/2016",deposit,"Investimentos Externos","fbar,fatca,sankey,monte_carlo","{""jurisdicao_pais"":""Suiça"",""moeda"":""USD""}"
2016-03-14,255.00,"Abastecimento Posto Shell CAR01 (16350 km)",expense,"Frotas & Veículos","cpk,weibull,ubi,tco_vehicle","{""idveiculo"":""CAR01"",""perfil_msrp"":65000,""odometer"":16350}"
2016-03-27,273.00,"Abastecimento Posto Ipiranga CAR01 (17250 km)",expense,"Frotas & Veículos","cpk,weibull,ubi,tco_vehicle","{""idveiculo"":""CAR01"",""perfil_msrp"":65000,""odometer"":17250}"
2016-03-22,3500.00,"Depósito Judicial Trabalhista (ADC 58) Q1/2016",deposit,"Ações Judiciais","taxa_legal,adc_58,simples_nacional","{""data_ajuizamento"":""2015-04-10"",""data_vencimento"":""2016-01-15""}"
2016-04-05,47500.00,"Faturamento PME Mensal 4/2016",revenue,"Receita de Vendas","ncg,welford,rolling_margin","{""massa_salarial_12"":80000,""receita_bruta_12"":570000}"
2016-04-08,6000.00,"Folha Pro-Labore Administrador 4/2016",expense,"Retiradas","fator_r,irpf_2026,simples_nacional","{""massa_salarial_12"":80000,""receita_bruta_12"":570000}"
2016-04-12,3755.00,"Financiamento Imóvel SAC Parcela 4/120",expense,"Imóveis","sistema_sac,cap_rate,ross_heidecke","{""property_value"":350000,""monthly_rent"":2100,""installment_no"":4,""interest_paid"":1755}"
2016-04-18,2500.00,"Aporte Fundo Offshore Swissquote 4/2016",deposit,"Investimentos Externos","fbar,fatca,sankey,monte_carlo","{""jurisdicao_pais"":""Suiça"",""moeda"":""USD""}"
2016-04-14,260.00,"Abastecimento Posto Shell CAR01 (18100 km)",expense,"Frotas & Veículos","cpk,weibull,ubi,tco_vehicle","{""idveiculo"":""CAR01"",""perfil_msrp"":65000,""odometer"":18100}"
2016-04-27,279.00,"Abastecimento Posto Ipiranga CAR01 (19000 km)",expense,"Frotas & Veículos","cpk,weibull,ubi,tco_vehicle","{""idveiculo"":""CAR01"",""perfil_msrp"":65000,""odometer"":19000}"
2016-05-05,50000.00,"Faturamento PME Mensal 5/2016",revenue,"Receita de Vendas","ncg,welford,rolling_margin","{""massa_salarial_12"":80000,""receita_bruta_12"":600000}"
2016-05-08,6000.00,"Folha Pro-Labore Administrador 5/2016",expense,"Retiradas","fator_r,irpf_2026,simples_nacional","{""massa_salarial_12"":80000,""receita_bruta_12"":600000}"
2016-05-12,3740.00,"Financiamento Imóvel SAC Parcela 5/120",expense,"Imóveis","sistema_sac,cap_rate,ross_heidecke","{""property_value"":350000,""monthly_rent"":2100,""installment_no"":5,""interest_paid"":1740}"
2016-05-18,2500.00,"Aporte Fundo Offshore Swissquote 5/2016",deposit,"Investimentos Externos","fbar,fatca,sankey,monte_carlo","{""jurisdicao_pais"":""Suiça"",""moeda"":""USD""}"
2016-05-14,265.00,"Abastecimento Posto Shell CAR01 (19850 km)",expense,"Frotas & Veículos","cpk,weibull,ubi,tco_vehicle","{""idveiculo"":""CAR01"",""perfil_msrp"":65000,""odometer"":19850}"
2016-05-27,285.00,"Abastecimento Posto Ipiranga CAR01 (20750 km)",expense,"Frotas & Veículos","cpk,weibull,ubi,tco_vehicle","{""idveiculo"":""CAR01"",""perfil_msrp"":65000,""odometer"":20750}"
2016-06-05,45000.00,"Faturamento PME Mensal 6/2016",revenue,"Receita de Vendas","ncg,welford,rolling_margin","{""massa_salarial_12"":80000,""receita_bruta_12"":540000}"
2016-06-08,6000.00,"Folha Pro-Labore Administrador 6/2016",expense,"Retiradas","fator_r,irpf_2026,simples_nacional","{""massa_salarial_12"":80000,""receita_bruta_12"":540000}"
2016-06-12,3725.00,"Financiamento Imóvel SAC Parcela 6/120",expense,"Imóveis","sistema_sac,cap_rate,ross_heidecke","{""property_value"":350000,""monthly_rent"":2100,""installment_no"":6,""interest_paid"":1725}"
2016-06-18,2500.00,"Aporte Fundo Offshore Swissquote 6/2016",deposit,"Investimentos Externos","fbar,fatca,sankey,monte_carlo","{""jurisdicao_pais"":""Suiça"",""moeda"":""USD""}"
2016-06-14,270.00,"Abastecimento Posto Shell CAR01 (21600 km)",expense,"Frotas & Veículos","cpk,weibull,ubi,tco_vehicle","{""idveiculo"":""CAR01"",""perfil_msrp"":65000,""odometer"":21600}"
2016-06-27,291.00,"Abastecimento Posto Ipiranga CAR01 (22500 km)",expense,"Frotas & Veículos","cpk,weibull,ubi,tco_vehicle","{""idveiculo"":""CAR01"",""perfil_msrp"":65000,""odometer"":22500}"
2016-06-22,3500.00,"Depósito Judicial Trabalhista (ADC 58) Q2/2016",deposit,"Ações Judiciais","taxa_legal,adc_58,simples_nacional","{""data_ajuizamento"":""2015-04-10"",""data_vencimento"":""2016-01-15""}"
2016-07-05,47500.00,"Faturamento PME Mensal 7/2016",revenue,"Receita de Vendas","ncg,welford,rolling_margin","{""massa_salarial_12"":80000,""receita_bruta_12"":570000}"
2016-07-08,6000.00,"Folha Pro-Labore Administrador 7/2016",expense,"Retiradas","fator_r,irpf_2026,simples_nacional","{""massa_salarial_12"":80000,""receita_bruta_12"":570000}"
2016-07-12,3710.00,"Financiamento Imóvel SAC Parcela 7/120",expense,"Imóveis","sistema_sac,cap_rate,ross_heidecke","{""property_value"":350000,""monthly_rent"":2100,""installment_no"":7,""interest_paid"":1710}"
2016-07-18,2500.00,"Aporte Fundo Offshore Swissquote 7/2016",deposit,"Investimentos Externos","fbar,fatca,sankey,monte_carlo","{""jurisdicao_pais"":""Suiça"",""moeda"":""USD""}"
2016-07-14,275.00,"Abastecimento Posto Shell CAR01 (23350 km)",expense,"Frotas & Veículos","cpk,weibull,ubi,tco_vehicle","{""idveiculo"":""CAR01"",""perfil_msrp"":65000,""odometer"":23350}"
2016-07-27,297.00,"Abastecimento Posto Ipiranga CAR01 (24250 km)",expense,"Frotas & Veículos","cpk,weibull,ubi,tco_vehicle","{""idveiculo"":""CAR01"",""perfil_msrp"":65000,""odometer"":24250}"
2016-08-05,50000.00,"Faturamento PME Mensal 8/2016",revenue,"Receita de Vendas","ncg,welford,rolling_margin","{""massa_salarial_12"":80000,""receita_bruta_12"":600000}"
2016-08-08,6000.00,"Folha Pro-Labore Administrador 8/2016",expense,"Retiradas","fator_r,irpf_2026,simples_nacional","{""massa_salarial_12"":80000,""receita_bruta_12"":600000}"
2016-08-12,3695.00,"Financiamento Imóvel SAC Parcela 8/120",expense,"Imóveis","sistema_sac,cap_rate,ross_heidecke","{""property_value"":350000,""monthly_rent"":2100,""installment_no"":8,""interest_paid"":1695}"
2016-08-18,2500.00,"Aporte Fundo Offshore Swissquote 8/2016",deposit,"Investimentos Externos","fbar,fatca,sankey,monte_carlo","{""jurisdicao_pais"":""Suiça"",""moeda"":""USD""}"
2016-08-14,280.00,"Abastecimento Posto Shell CAR01 (25100 km)",expense,"Frotas & Veículos","cpk,weibull,ubi,tco_vehicle","{""idveiculo"":""CAR01"",""perfil_msrp"":65000,""odometer"":25100}"
2016-08-27,303.00,"Abastecimento Posto Ipiranga CAR01 (26000 km)",expense,"Frotas & Veículos","cpk,weibull,ubi,tco_vehicle","{""idveiculo"":""CAR01"",""perfil_msrp"":65000,""odometer"":26000}"
2016-09-05,45000.00,"Faturamento PME Mensal 9/2016",revenue,"Receita de Vendas","ncg,welford,rolling_margin","{""massa_salarial_12"":80000,""receita_bruta_12"":540000}"
2016-09-08,6000.00,"Folha Pro-Labore Administrador 9/2016",expense,"Retiradas","fator_r,irpf_2026,simples_nacional","{""massa_salarial_12"":80000,""receita_bruta_12"":540000}"
2016-09-12,3680.00,"Financiamento Imóvel SAC Parcela 9/120",expense,"Imóveis","sistema_sac,cap_rate,ross_heidecke","{""property_value"":350000,""monthly_rent"":2100,""installment_no"":9,""interest_paid"":1680}"
2016-09-18,2500.00,"Aporte Fundo Offshore Swissquote 9/2016",deposit,"Investimentos Externos","fbar,fatca,sankey,monte_carlo","{""jurisdicao_pais"":""Suiça"",""moeda"":""USD""}"
2016-09-14,285.00,"Abastecimento Posto Shell CAR01 (26850 km)",expense,"Frotas & Veículos","cpk,weibull,ubi,tco_vehicle","{""idveiculo"":""CAR01"",""perfil_msrp"":65000,""odometer"":26850}"
2016-09-27,309.00,"Abastecimento Posto Ipiranga CAR01 (27750 km)",expense,"Frotas & Veículos","cpk,weibull,ubi,tco_vehicle","{""idveiculo"":""CAR01"",""perfil_msrp"":65000,""odometer"":27750}"
2016-09-22,3500.00,"Depósito Judicial Trabalhista (ADC 58) Q3/2016",deposit,"Ações Judiciais","taxa_legal,adc_58,simples_nacional","{""data_ajuizamento"":""2015-04-10"",""data_vencimento"":""2016-01-15""}"
2016-10-05,47500.00,"Faturamento PME Mensal 10/2016",revenue,"Receita de Vendas","ncg,welford,rolling_margin","{""massa_salarial_12"":80000,""receita_bruta_12"":570000}"
2016-10-08,6000.00,"Folha Pro-Labore Administrador 10/2016",expense,"Retiradas","fator_r,irpf_2026,simples_nacional","{""massa_salarial_12"":80000,""receita_bruta_12"":570000}"
2016-10-12,3665.00,"Financiamento Imóvel SAC Parcela 10/120",expense,"Imóveis","sistema_sac,cap_rate,ross_heidecke","{""property_value"":350000,""monthly_rent"":2100,""installment_no"":10,""interest_paid"":1665}"
2016-10-18,2500.00,"Aporte Fundo Offshore Swissquote 10/2016",deposit,"Investimentos Externos","fbar,fatca,sankey,monte_carlo","{""jurisdicao_pais"":""Suiça"",""moeda"":""USD""}"
2016-10-14,290.00,"Abastecimento Posto Shell CAR01 (28600 km)",expense,"Frotas & Veículos","cpk,weibull,ubi,tco_vehicle","{""idveiculo"":""CAR01"",""perfil_msrp"":65000,""odometer"":28600}"
2016-10-27,315.00,"Abastecimento Posto Ipiranga CAR01 (29500 km)",expense,"Frotas & Veículos","cpk,weibull,ubi,tco_vehicle","{""idveiculo"":""CAR01"",""perfil_msrp"":65000,""odometer"":29500}"
2016-11-05,50000.00,"Faturamento PME Mensal 11/2016",revenue,"Receita de Vendas","ncg,welford,rolling_margin","{""massa_salarial_12"":80000,""receita_bruta_12"":600000}"
2016-11-08,6000.00,"Folha Pro-Labore Administrador 11/2016",expense,"Retiradas","fator_r,irpf_2026,simples_nacional","{""massa_salarial_12"":80000,""receita_bruta_12"":600000}"
2016-11-12,3650.00,"Financiamento Imóvel SAC Parcela 11/120",expense,"Imóveis","sistema_sac,cap_rate,ross_heidecke","{""property_value"":350000,""monthly_rent"":2100,""installment_no"":11,""interest_paid"":1650}"
2016-11-18,2500.00,"Aporte Fundo Offshore Swissquote 11/2016",deposit,"Investimentos Externos","fbar,fatca,sankey,monte_carlo","{""jurisdicao_pais"":""Suiça"",""moeda"":""USD""}"
2016-11-14,295.00,"Abastecimento Posto Shell CAR01 (30350 km)",expense,"Frotas & Veículos","cpk,weibull,ubi,tco_vehicle","{""idveiculo"":""CAR01"",""perfil_msrp"":65000,""odometer"":30350}"
2016-11-27,321.00,"Abastecimento Posto Ipiranga CAR01 (31250 km)",expense,"Frotas & Veículos","cpk,weibull,ubi,tco_vehicle","{""idveiculo"":""CAR01"",""perfil_msrp"":65000,""odometer"":31250}"
2016-12-05,45000.00,"Faturamento PME Mensal 12/2016",revenue,"Receita de Vendas","ncg,welford,rolling_margin","{""massa_salarial_12"":80000,""receita_bruta_12"":540000}"
2016-12-08,6000.00,"Folha Pro-Labore Administrador 12/2016",expense,"Retiradas","fator_r,irpf_2026,simples_nacional","{""massa_salarial_12"":80000,""receita_bruta_12"":540000}"
2016-12-12,3635.00,"Financiamento Imóvel SAC Parcela 12/120",expense,"Imóveis","sistema_sac,cap_rate,ross_heidecke","{""property_value"":350000,""monthly_rent"":2100,""installment_no"":12,""interest_paid"":1635}"
2016-12-18,2500.00,"Aporte Fundo Offshore Swissquote 12/2016",deposit,"Investimentos Externos","fbar,fatca,sankey,monte_carlo","{""jurisdicao_pais"":""Suiça"",""moeda"":""USD""}"
2016-12-14,300.00,"Abastecimento Posto Shell CAR01 (32100 km)",expense,"Frotas & Veículos","cpk,weibull,ubi,tco_vehicle","{""idveiculo"":""CAR01"",""perfil_msrp"":65000,""odometer"":32100}"
2016-12-27,327.00,"Abastecimento Posto Ipiranga CAR01 (33000 km)",expense,"Frotas & Veículos","cpk,weibull,ubi,tco_vehicle","{""idveiculo"":""CAR01"",""perfil_msrp"":65000,""odometer"":33000}"
2016-12-22,3500.00,"Depósito Judicial Trabalhista (ADC 58) Q4/2016",deposit,"Ações Judiciais","taxa_legal,adc_58,simples_nacional","{""data_ajuizamento"":""2015-04-10"",""data_vencimento"":""2016-01-15""}"
2017-01-05,55500.00,"Faturamento PME Mensal 1/2017",revenue,"Receita de Vendas","ncg,welford,rolling_margin","{""massa_salarial_12"":92000,""receita_bruta_12"":666000}"
2017-01-08,6900.00,"Folha Pro-Labore Administrador 1/2017",expense,"Retiradas","fator_r,irpf_2026,simples_nacional","{""massa_salarial_12"":92000,""receita_bruta_12"":666000}"
2017-01-12,3620.00,"Financiamento Imóvel SAC Parcela 13/120",expense,"Imóveis","sistema_sac,cap_rate,ross_heidecke","{""property_value"":350000,""monthly_rent"":2100,""installment_no"":13,""interest_paid"":1620}"
2017-01-18,3000.00,"Aporte Fundo Offshore Swissquote 1/2017",deposit,"Investimentos Externos","fbar,fatca,sankey,monte_carlo","{""jurisdicao_pais"":""Suiça"",""moeda"":""USD""}"
2017-01-14,245.00,"Abastecimento Posto Shell CAR01 (33850 km)",expense,"Frotas & Veículos","cpk,weibull,ubi,tco_vehicle","{""idveiculo"":""CAR01"",""perfil_msrp"":65000,""odometer"":33850}"
2017-01-27,261.00,"Abastecimento Posto Ipiranga CAR01 (34750 km)",expense,"Frotas & Veículos","cpk,weibull,ubi,tco_vehicle","{""idveiculo"":""CAR01"",""perfil_msrp"":65000,""odometer"":34750}"
2017-02-05,58000.00,"Faturamento PME Mensal 2/2017",revenue,"Receita de Vendas","ncg,welford,rolling_margin","{""massa_salarial_12"":92000,""receita_bruta_12"":696000}"
2017-02-08,6900.00,"Folha Pro-Labore Administrador 2/2017",expense,"Retiradas","fator_r,irpf_2026,simples_nacional","{""massa_salarial_12"":92000,""receita_bruta_12"":696000}"
2017-02-12,3605.00,"Financiamento Imóvel SAC Parcela 14/120",expense,"Imóveis","sistema_sac,cap_rate,ross_heidecke","{""property_value"":350000,""monthly_rent"":2100,""installment_no"":14,""interest_paid"":1605}"
2017-02-18,3000.00,"Aporte Fundo Offshore Swissquote 2/2017",deposit,"Investimentos Externos","fbar,fatca,sankey,monte_carlo","{""jurisdicao_pais"":""Suiça"",""moeda"":""USD""}"
2017-02-14,250.00,"Abastecimento Posto Shell CAR01 (35600 km)",expense,"Frotas & Veículos","cpk,weibull,ubi,tco_vehicle","{""idveiculo"":""CAR01"",""perfil_msrp"":65000,""odometer"":35600}"
2017-02-27,267.00,"Abastecimento Posto Ipiranga CAR01 (36500 km)",expense,"Frotas & Veículos","cpk,weibull,ubi,tco_vehicle","{""idveiculo"":""CAR01"",""perfil_msrp"":65000,""odometer"":36500}"
2017-03-05,53000.00,"Faturamento PME Mensal 3/2017",revenue,"Receita de Vendas","ncg,welford,rolling_margin","{""massa_salarial_12"":92000,""receita_bruta_12"":636000}"
2017-03-08,6900.00,"Folha Pro-Labore Administrador 3/2017",expense,"Retiradas","fator_r,irpf_2026,simples_nacional","{""massa_salarial_12"":92000,""receita_bruta_12"":636000}"
2017-03-12,3590.00,"Financiamento Imóvel SAC Parcela 15/120",expense,"Imóveis","sistema_sac,cap_rate,ross_heidecke","{""property_value"":350000,""monthly_rent"":2100,""installment_no"":15,""interest_paid"":1590}"
2017-03-18,3000.00,"Aporte Fundo Offshore Swissquote 3/2017",deposit,"Investimentos Externos","fbar,fatca,sankey,monte_carlo","{""jurisdicao_pais"":""Suiça"",""moeda"":""USD""}"
2017-03-14,255.00,"Abastecimento Posto Shell CAR01 (37350 km)",expense,"Frotas & Veículos","cpk,weibull,ubi,tco_vehicle","{""idveiculo"":""CAR01"",""perfil_msrp"":65000,""odometer"":37350}"
2017-03-27,273.00,"Abastecimento Posto Ipiranga CAR01 (38250 km)",expense,"Frotas & Veículos","cpk,weibull,ubi,tco_vehicle","{""idveiculo"":""CAR01"",""perfil_msrp"":65000,""odometer"":38250}"
2017-03-22,3900.00,"Depósito Judicial Trabalhista (ADC 58) Q1/2017",deposit,"Ações Judiciais","taxa_legal,adc_58,simples_nacional","{""data_ajuizamento"":""2016-04-10"",""data_vencimento"":""2017-01-15""}"
2017-04-05,55500.00,"Faturamento PME Mensal 4/2017",revenue,"Receita de Vendas","ncg,welford,rolling_margin","{""massa_salarial_12"":92000,""receita_bruta_12"":666000}"
2017-04-08,6900.00,"Folha Pro-Labore Administrador 4/2017",expense,"Retiradas","fator_r,irpf_2026,simples_nacional","{""massa_salarial_12"":92000,""receita_bruta_12"":666000}"
2017-04-12,3575.00,"Financiamento Imóvel SAC Parcela 16/120",expense,"Imóveis","sistema_sac,cap_rate,ross_heidecke","{""property_value"":350000,""monthly_rent"":2100,""installment_no"":16,""interest_paid"":1575}"
2017-04-18,3000.00,"Aporte Fundo Offshore Swissquote 4/2017",deposit,"Investimentos Externos","fbar,fatca,sankey,monte_carlo","{""jurisdicao_pais"":""Suiça"",""moeda"":""USD""}"
2017-04-14,260.00,"Abastecimento Posto Shell CAR01 (39100 km)",expense,"Frotas & Veículos","cpk,weibull,ubi,tco_vehicle","{""idveiculo"":""CAR01"",""perfil_msrp"":65000,""odometer"":39100}"
2017-04-27,279.00,"Abastecimento Posto Ipiranga CAR01 (40000 km)",expense,"Frotas & Veículos","cpk,weibull,ubi,tco_vehicle","{""idveiculo"":""CAR01"",""perfil_msrp"":65000,""odometer"":40000}"
2017-05-05,58000.00,"Faturamento PME Mensal 5/2017",revenue,"Receita de Vendas","ncg,welford,rolling_margin","{""massa_salarial_12"":92000,""receita_bruta_12"":696000}"
2017-05-08,6900.00,"Folha Pro-Labore Administrador 5/2017",expense,"Retiradas","fator_r,irpf_2026,simples_nacional","{""massa_salarial_12"":92000,""receita_bruta_12"":696000}"
2017-05-12,3560.00,"Financiamento Imóvel SAC Parcela 17/120",expense,"Imóveis","sistema_sac,cap_rate,ross_heidecke","{""property_value"":350000,""monthly_rent"":2100,""installment_no"":17,""interest_paid"":1560}"
2017-05-18,3000.00,"Aporte Fundo Offshore Swissquote 5/2017",deposit,"Investimentos Externos","fbar,fatca,sankey,monte_carlo","{""jurisdicao_pais"":""Suiça"",""moeda"":""USD""}"
2017-05-14,265.00,"Abastecimento Posto Shell CAR01 (40850 km)",expense,"Frotas & Veículos","cpk,weibull,ubi,tco_vehicle","{""idveiculo"":""CAR01"",""perfil_msrp"":65000,""odometer"":40850}"
2017-05-27,285.00,"Abastecimento Posto Ipiranga CAR01 (41750 km)",expense,"Frotas & Veículos","cpk,weibull,ubi,tco_vehicle","{""idveiculo"":""CAR01"",""perfil_msrp"":65000,""odometer"":41750}"
2017-06-05,53000.00,"Faturamento PME Mensal 6/2017",revenue,"Receita de Vendas","ncg,welford,rolling_margin","{""massa_salarial_12"":92000,""receita_bruta_12"":636000}"
2017-06-08,6900.00,"Folha Pro-Labore Administrador 6/2017",expense,"Retiradas","fator_r,irpf_2026,simples_nacional","{""massa_salarial_12"":92000,""receita_bruta_12"":636000}"
2017-06-12,3545.00,"Financiamento Imóvel SAC Parcela 18/120",expense,"Imóveis","sistema_sac,cap_rate,ross_heidecke","{""property_value"":350000,""monthly_rent"":2100,""installment_no"":18,""interest_paid"":1545}"
2017-06-18,3000.00,"Aporte Fundo Offshore Swissquote 6/2017",deposit,"Investimentos Externos","fbar,fatca,sankey,monte_carlo","{""jurisdicao_pais"":""Suiça"",""moeda"":""USD""}"
2017-06-14,270.00,"Abastecimento Posto Shell CAR01 (42600 km)",expense,"Frotas & Veículos","cpk,weibull,ubi,tco_vehicle","{""idveiculo"":""CAR01"",""perfil_msrp"":65000,""odometer"":42600}"
2017-06-27,291.00,"Abastecimento Posto Ipiranga CAR01 (43500 km)",expense,"Frotas & Veículos","cpk,weibull,ubi,tco_vehicle","{""idveiculo"":""CAR01"",""perfil_msrp"":65000,""odometer"":43500}"
2017-06-22,3900.00,"Depósito Judicial Trabalhista (ADC 58) Q2/2017",deposit,"Ações Judiciais","taxa_legal,adc_58,simples_nacional","{""data_ajuizamento"":""2016-04-10"",""data_vencimento"":""2017-01-15""}"
2017-07-05,55500.00,"Faturamento PME Mensal 7/2017",revenue,"Receita de Vendas","ncg,welford,rolling_margin","{""massa_salarial_12"":92000,""receita_bruta_12"":666000}"
2017-07-08,6900.00,"Folha Pro-Labore Administrador 7/2017",expense,"Retiradas","fator_r,irpf_2026,simples_nacional","{""massa_salarial_12"":92000,""receita_bruta_12"":666000}"
2017-07-12,3530.00,"Financiamento Imóvel SAC Parcela 19/120",expense,"Imóveis","sistema_sac,cap_rate,ross_heidecke","{""property_value"":350000,""monthly_rent"":2100,""installment_no"":19,""interest_paid"":1530}"
2017-07-18,3000.00,"Aporte Fundo Offshore Swissquote 7/2017",deposit,"Investimentos Externos","fbar,fatca,sankey,monte_carlo","{""jurisdicao_pais"":""Suiça"",""moeda"":""USD""}"
2017-07-14,275.00,"Abastecimento Posto Shell CAR01 (44350 km)",expense,"Frotas & Veículos","cpk,weibull,ubi,tco_vehicle","{""idveiculo"":""CAR01"",""perfil_msrp"":65000,""odometer"":44350}"
2017-07-27,297.00,"Abastecimento Posto Ipiranga CAR01 (45250 km)",expense,"Frotas & Veículos","cpk,weibull,ubi,tco_vehicle","{""idveiculo"":""CAR01"",""perfil_msrp"":65000,""odometer"":45250}"
2017-08-05,58000.00,"Faturamento PME Mensal 8/2017",revenue,"Receita de Vendas","ncg,welford,rolling_margin","{""massa_salarial_12"":92000,""receita_bruta_12"":696000}"
2017-08-08,6900.00,"Folha Pro-Labore Administrador 8/2017",expense,"Retiradas","fator_r,irpf_2026,simples_nacional","{""massa_salarial_12"":92000,""receita_bruta_12"":696000}"
2017-08-12,3515.00,"Financiamento Imóvel SAC Parcela 20/120",expense,"Imóveis","sistema_sac,cap_rate,ross_heidecke","{""property_value"":350000,""monthly_rent"":2100,""installment_no"":20,""interest_paid"":1515}"
2017-08-18,3000.00,"Aporte Fundo Offshore Swissquote 8/2017",deposit,"Investimentos Externos","fbar,fatca,sankey,monte_carlo","{""jurisdicao_pais"":""Suiça"",""moeda"":""USD""}"
2017-08-14,280.00,"Abastecimento Posto Shell CAR01 (46100 km)",expense,"Frotas & Veículos","cpk,weibull,ubi,tco_vehicle","{""idveiculo"":""CAR01"",""perfil_msrp"":65000,""odometer"":46100}"
2017-08-27,303.00,"Abastecimento Posto Ipiranga CAR01 (47000 km)",expense,"Frotas & Veículos","cpk,weibull,ubi,tco_vehicle","{""idveiculo"":""CAR01"",""perfil_msrp"":65000,""odometer"":47000}"
2017-09-05,53000.00,"Faturamento PME Mensal 9/2017",revenue,"Receita de Vendas","ncg,welford,rolling_margin","{""massa_salarial_12"":92000,""receita_bruta_12"":636000}"
2017-09-08,6900.00,"Folha Pro-Labore Administrador 9/2017",expense,"Retiradas","fator_r,irpf_2026,simples_nacional","{""massa_salarial_12"":92000,""receita_bruta_12"":636000}"
2017-09-12,3500.00,"Financiamento Imóvel SAC Parcela 21/120",expense,"Imóveis","sistema_sac,cap_rate,ross_heidecke","{""property_value"":350000,""monthly_rent"":2100,""installment_no"":21,""interest_paid"":1500}"
2017-09-18,3000.00,"Aporte Fundo Offshore Swissquote 9/2017",deposit,"Investimentos Externos","fbar,fatca,sankey,monte_carlo","{""jurisdicao_pais"":""Suiça"",""moeda"":""USD""}"
2017-09-14,285.00,"Abastecimento Posto Shell CAR01 (47850 km)",expense,"Frotas & Veículos","cpk,weibull,ubi,tco_vehicle","{""idveiculo"":""CAR01"",""perfil_msrp"":65000,""odometer"":47850}"
2017-09-27,309.00,"Abastecimento Posto Ipiranga CAR01 (48750 km)",expense,"Frotas & Veículos","cpk,weibull,ubi,tco_vehicle","{""idveiculo"":""CAR01"",""perfil_msrp"":65000,""odometer"":48750}"
2017-09-22,3900.00,"Depósito Judicial Trabalhista (ADC 58) Q3/2017",deposit,"Ações Judiciais","taxa_legal,adc_58,simples_nacional","{""data_ajuizamento"":""2016-04-10"",""data_vencimento"":""2017-01-15""}"
2017-10-05,55500.00,"Faturamento PME Mensal 10/2017",revenue,"Receita de Vendas","ncg,welford,rolling_margin","{""massa_salarial_12"":92000,""receita_bruta_12"":666000}"
2017-10-08,6900.00,"Folha Pro-Labore Administrador 10/2017",expense,"Retiradas","fator_r,irpf_2026,simples_nacional","{""massa_salarial_12"":92000,""receita_bruta_12"":666000}"
